Injury,State,FireDeptID,Month,Day,Year,IncidentNumber,IncidentType,AddressIsWildland,AidGivenOrReceived,TimeNotified,TimeArrived,ShiftCoveringIncident,Alarms,District,ActionTaken1,ActionTaken2,ActionTaken3,ApparatusUsed,SuppressionApparatus,EMSApparatus,OtherApparatus,SuppressionPersonnel,EMSPersonnel,OtherPersonnel,MutualAid,PropertyUseCode,Address,ZipCode
0,NE,01002,2,01,1999,0000200,730,N,N,1450,1452,C,,900,86,,,N,1,0,0,7,0,0,N,213,14124 NORTON DRIVE,68010
0,NE,01002,2,02,1999,0000206,320,N,N,0810,0813,B,,900,34,,,N,0,0,1,9,0,0,N,419,14612 GIANELLI CIRCLE,68010
0,NE,01002,2,03,1999,0000215,740,N,N,1440,1440,B,,900,00,,,N,0,0,0,7,0,0,N,213,14124 NORTON DRIVE,68010
0,NE,01002,2,03,1999,0000219,740,N,N,0001,0001,A,,900,86,,,N,2,0,0,14,0,0,N,213,14124 NORTON DRIVE,68010
0,NE,01002,2,05,1999,0000228,740,N,N,1431,1436,A,,900,86,,,N,1,0,0,7,0,0,N,459,305 SUDYKA DRIVE,68010
0,NE,01002,2,05,1999,0000230,410,N,N,1810,1813,B,,900,41,,,N,1,0,0,9,0,0,N,UUU,13747 FLANAGAN BLVD,68010
0,NE,01002,2,05,1999,0000231,740,N,N,1829,1831,C,,900,86,,,N,2,0,0,9,0,0,N,459,305 SUDYKA DRIVE,68010
0,NE,01002,2,07,1999,0000239,410,N,1,1306,1313,B,,900,86,,,N,3,0,0,8,0,0,N,419,14538 GIANELLI CIRCLE,68010
0,NE,01002,2,07,1999,0000241,320,N,N,2217,2224,A,,900,34,,,N,0,0,1,8,0,0,N,419,14612 GIANELLI CIRCLE,68010
0,NE,01002,2,08,1999,0000248,740,N,N,2238,2242,C,,900,86,,,N,1,0,1,8,0,0,N,459,13625 KUHN DRIVE,68010
0,NE,01002,2,09,1999,0000255,320,N,N,2322,2328,A,,900,34,,,N,0,0,1,5,0,0,N,449,14015 FLANAGAN #101,68010
0,NE,01002,2,12,1999,0000277,320,N,N,1934,1943,B,,900,34,,,N,0,0,1,4,0,0,N,215,122 HEROES BLVD,68010
0,NE,01002,2,16,1999,0000249,410,N,1,1150,1153,B,,900,86,,,N,1,0,0,8,0,0,N,459,162 MAHER DRIVE,68010
0,NE,01002,2,23,1999,0000345,410,N,1,2023,2029,B,,900,86,,,N,3,0,1,8,0,0,N,459,14178 WALSH DRIVE,68010
0,NE,01002,2,24,1999,0000347,320,N,N,0703,0707,A,,900,34,,,N,0,0,1,8,0,0,N,UUU,14188 MOTHER THERESA,68010
0,NE,01002,2,27,1999,0000364,320,N,N,1842,1844,B,,900,91,,,N,0,0,1,4,0,0,N,639,13943 GUTOWSKI RD,68010
0,NE,01002,2,28,1999,0000366,320,N,N,1016,1019,A,,900,34,,,N,0,0,2,7,0,0,N,UUU,14057 FLANAGAN BLVD,68010
0,NE,01002,3,02,1999,0000378,320,N,N,1408,1410,A,,900,34,,,N,0,0,1,6,0,0,N,UUU,14343 NORTON DRIVE,68010
0,NE,01002,3,02,1999,0000380,320,N,N,1541,1543,B,,900,34,,,N,0,0,1,7,0,0,N,459,14110 ALEXIAN CIRCLE,68010
0,NE,01002,3,04,1999,0000398,740,N,N,2029,2041,B,,900,86,,,N,1,0,0,8,0,0,N,599,14100 CRAWFORD RD,68010
0,NE,01002,3,05,1999,0000400,320,N,N,0638,0641,A,,900,34,,,N,0,0,1,6,0,0,N,419,14612 GIANELLI CIRCLE,68010
0,NE,01002,3,06,1999,0000405,410,N,1,1603,1613,C,,900,11,,,N,3,0,0,9,0,0,N,459,208 MAHER DRIVE,68010
0,NE,01002,3,08,1999,0000415,320,N,N,1113,1117,B,,900,34,,,N,0,0,1,7,0,0,N,599,13603 FLANAGAN BLVD,68010
0,NE,01002,3,11,1999,0000442,340,N,N,1754,1801,A,,900,86,,,N,2,0,0,8,0,0,N,459,14178 WALSH DRIVE,68010
0,NE,01002,3,12,1999,0000453,740,N,N,0200,0215,C,,900,86,,,N,1,0,0,7,0,0,N,459,201 SUDYKA DRIVE,68010
0,NE,01002,3,15,1999,0000469,320,N,N,1032,1040,B,,900,34,,,N,1,0,1,11,0,0,N,449,14188 MOTHER THERESA,68010
0,NE,01002,3,16,1999,0000467,740,N,N,0348,0352,A,,900,11,,,N,1,0,1,9,0,0,N,459,216 MAHER DRIVE,68010
0,NE,01002,3,16,1999,0000472,740,N,N,0914,0918,C,,900,86,,,N,2,0,0,10,0,0,N,459,13963 FLANAGAN BLVD,68010
0,NE,01002,3,19,1999,0000493,740,N,N,2032,2038,B,,900,86,,,N,2,0,0,8,0,0,N,459,13971 FLANAGAN BLVD,68010
0,NE,01002,3,25,1999,0000522,320,N,N,1651,1653,A,,900,34,,,N,0,0,1,11,0,0,N,UUU,,68010
0,NE,01002,3,25,1999,0000524,110,N,N,1648,1651,B,,900,41,,,N,1,0,0,11,0,0,N,449,14015 FLANAGAN #102,68010
0,NE,01002,3,26,1999,0000533,320,N,N,1719,1719,C,,900,34,,,N,1,0,2,15,0,0,N,UUU,14400 NORTON DRIVE,68010
0,NE,01002,3,29,1999,0000545,410,N,N,1551,1555,A,,900,86,,,N,1,0,0,7,0,0,N,449,13971 FLANAGAN BLVD,68010
0,NE,01002,3,31,1999,0000555,410,N,N,0710,0717,B,,900,00,,,N,1,0,0,5,0,0,N,449,13971 FLANAGAN BLVD,68010
0,NE,01002,4,01,1999,0000559,730,N,N,0028,0030,B,,900,86,,,N,1,0,0,8,0,0,N,459,141 MAHER DRIVE,68010
0,NE,01002,4,02,1999,0000571,410,N,N,2242,2246,A,,900,86,,,N,1,0,0,8,0,0,N,459,14109 ALEXIAN CIRCLE,68010
0,NE,01002,4,10,1999,0000610,320,N,N,1919,1921,B,,900,34,,,N,0,0,1,6,0,0,N,419,13940 GUTOWSKI,68010
0,NE,01002,4,11,1999,0000613,320,N,N,0948,0953,A,,900,34,,,N,0,0,1,9,0,0,N,UUU,SOUTH LAKE,68010
0,NE,01002,4,12,1999,0000624,410,N,N,1345,1348,C,,900,00,,,N,1,0,1,6,0,0,N,449,13963 FLANAGAN BLVD,68010
0,NE,01002,4,14,1999,0000634,110,N,N,1311,1315,C,,900,86,,,N,1,0,0,6,0,0,N,449,14015 FLANAGAN #300,68010
0,NE,01002,4,14,1999,0000636,730,N,N,2147,2152,A,,900,86,,,N,1,0,0,5,0,0,N,419,14538 GIANELLI CIRCLE,68010
0,NE,01002,4,20,1999,0000666,320,N,N,1915,1917,A,,900,91,,,N,0,0,1,20,0,0,N,599,13603 FLANAGAN BLVD,68010
0,NE,01002,4,21,1999,0000668,740,N,N,1221,1224,C,,900,86,,,N,1,0,0,5,0,0,N,599,13603 FLANAGAN BLVD,68010
0,NE,01002,4,23,1999,0000680,740,N,N,1212,1217,B,,900,41,,,N,1,0,0,8,0,0,N,459,13963 FLANAGAN BLVD,68010
0,NE,01002,4,24,1999,0000689,320,N,N,1520,1531,A,,900,34,,,N,0,0,1,7,0,0,N,599,13628 FLANAGAN BLVD,68010
0,NE,01002,4,27,1999,0000708,730,N,N,0904,0905,B,,900,86,,,N,2,0,0,8,0,0,N,459,13965 WALSH DRIVE,68010
0,NE,01002,4,28,1999,0000709,320,N,N,1009,1016,C,,900,34,,,N,0,0,1,7,0,0,N,215,13803 FLANAGAN BLVD,68010
0,NE,01002,4,29,1999,0000716,410,N,1,1248,1250,A,,900,86,,,N,2,0,0,7,0,0,N,965,355 MCBREEN CIRCLE,68010
0,NE,01002,5,04,1999,0000739,740,N,N,0339,0342,A,,900,86,,,N,0,0,0,2,0,0,N,459,14039 WALSH DRIVE,68010
0,NE,01002,5,05,1999,0000749,740,N,N,1616,1618,B,,900,86,,,N,1,0,0,12,0,0,N,459,102 MAHER DRIVE,68010
0,NE,01002,5,09,1999,0000776,320,N,N,2001,2011,B,,900,34,,,N,0,0,1,9,0,0,N,215,122 HEROES,68010
0,NE,01002,5,09,1999,0000777,110,N,N,2327,2330,C,,900,86,,,N,2,0,0,10,0,0,N,459,13651 KUHN DRIVE,68010
0,NE,01002,5,13,1999,0000792,110,N,N,0630,0635,A,,900,41,,,N,1,0,0,7,0,0,N,449,13955 FLANAGAN BLVD,68010
0,NE,01002,5,13,1999,0000795,320,N,N,1332,1335,A,,900,34,,,N,1,0,1,8,0,0,N,599,13628 FLANAGAN BLVD,68010
0,NE,01002,5,13,1999,0000796,410,N,N,1712,1714,B,,900,86,,,N,2,0,0,8,0,0,N,459,14118 ALEXIAN CIRCLE,68010
0,NE,01002,5,15,1999,0000808,730,N,N,1316,1319,C,,900,86,,,N,1,0,0,6,0,0,N,449,14015 FLANAGAN #102,68010
0,NE,01002,5,16,1999,0000811,730,N,N,0137,0145,B,,900,86,,,N,1,0,0,6,0,0,N,459,169 MAHER DRIVE,68010
0,NE,01002,5,18,1999,0000821,320,N,N,0916,0924,A,,900,34,,,N,1,0,1,9,0,0,N,599,14139 CRAWFORD RD,68010
0,NE,01002,5,22,1999,0000849,320,N,N,1532,1537,C,,900,34,,,N,1,0,1,13,0,0,N,459,14101 FRANCISCAN CIR,68010
0,NE,01002,5,31,1999,0000900,740,N,N,0114,0116,C,,900,86,,,N,2,0,0,8,0,0,N,419,14538 GIANELLI CIRCLE,68010
0,NE,01002,5,31,1999,0000903,730,N,N,2014,2026,A,,900,86,,,N,1,0,0,5,0,0,N,459,305 SUDYKA DRIVE,68010
0,NE,01002,5,31,1999,0000906,320,N,N,0614,0619,B,,900,34,,,N,0,0,2,6,0,0,N,419,14612 GIANELLI CIRCLE,68010
0,NE,01002,6,01,1999,0000908,410,N,N,0912,0915,C,,900,86,,,N,1,0,0,4,0,0,N,459,14032 WALSH DRIVE,68010
0,NE,01002,6,04,1999,0000934,740,N,N,1314,1317,C,,900,86,,,N,1,0,0,7,0,0,N,459,14178 WALSH DRIVE,68010
0,NE,01002,6,05,1999,0000943,730,N,N,2128,2132,A,,900,86,,,N,2,0,0,7,0,0,N,459,13969 WALSH DRIVE,68010
0,NE,01002,6,07,1999,0000952,740,N,N,1630,1633,B,,900,86,,,N,2,0,0,10,0,0,N,459,14141 WALSH DRIVE,68010
0,NE,01002,6,07,1999,0000953,730,N,N,1816,1819,C,,900,86,,,N,2,0,0,8,0,0,N,459,14141 WALSH DRIVE,68010
0,NE,01002,6,08,1999,0000956,320,N,N,1321,1323,A,,900,34,,,N,0,0,1,8,0,0,N,213,14124 NORTON DRIVE,68010
0,NE,01002,6,09,1999,0000967,410,N,N,2259,2304,B,,900,86,,,N,1,0,0,9,0,0,N,459,14037 WALSH DRIVE,68010
0,NE,01002,6,11,1999,0000978,320,N,N,1115,1120,A,,900,91,,,N,0,0,1,5,0,0,N,639,13943 GUTOWSKI ROAD,68010
0,NE,01002,6,12,1999,0000974,730,N,N,0755,0758,C,,900,86,,,N,1,0,1,8,0,0,N,599,13603 FLANAGAN BLVD,68010
0,NE,01002,6,14,1999,0000996,730,N,N,1201,1205,B,,900,86,,,N,1,0,0,8,0,0,N,459,13965 WALSH DRIVE,68010
0,NE,01002,6,16,1999,0001005,740,N,N,1415,1418,B,,900,86,,,N,1,0,0,8,0,0,N,215,13803 FLANAGAN BLVD,68010
0,NE,01002,6,17,1999,0001015,730,N,N,1511,1514,A,,900,86,,,N,1,0,0,6,0,0,N,599,13803 FLANAGAN BLVD,68010
0,NE,01002,6,17,1999,0001018,110,N,N,2105,2112,C,,900,86,,,N,1,0,0,8,0,0,N,459,14110 ALEXIAN CIRCLE,68010
0,NE,01002,6,17,1999,0001030,730,N,N,1350,1353,C,,900,86,,,N,1,0,0,5,0,0,N,449,13963 FLANAGAN #202,68010
0,NE,01002,6,19,1999,0001027,320,N,N,2358,0002,A,,900,34,,,N,1,0,1,9,0,0,N,419,13923 GUTOWSKI CIRCLE,68010
0,NE,01002,6,20,1999,0001039,140,N,N,1946,1950,C,,900,11,,,N,2,0,0,9,0,0,N,819,836 SO 132 STREET,68010
0,NE,01002,6,21,1999,0001044,730,N,N,1019,1021,A,,900,86,,,N,1,0,0,10,0,0,N,459,14032 WALSH DRIVE,68010
0,NE,01002,6,23,1999,0001060,730,N,N,1446,1449,C,,900,86,,,N,1,0,0,4,0,0,N,459,14101 FRANCISCAN CIR,68010
0,NE,01002,6,24,1999,0001063,730,N,N,1540,1543,B,,900,86,,,N,1,0,0,9,0,0,N,459,13969 WALSH DRIVE,68010
0,NE,01002,6,26,1999,0001073,740,N,N,1053,1057,A,,900,86,,,N,1,0,1,9,0,0,N,449,13971 FLANAGAN BLVD,68010
0,NE,01002,6,30,1999,0001101,320,N,N,1438,1442,C,,900,34,,,N,0,0,1,4,0,0,N,639,13943 GUTOWSKI ROAD,68010
0,NE,01002,7,03,1999,0001124,740,N,N,0646,0650,C,,900,86,,,N,2,0,0,7,0,0,N,459,13955 FLANAGAN #202,68010
0,NE,01002,7,04,1999,0001127,740,N,N,0555,0603,B,,900,86,,,N,1,0,0,7,0,0,N,459,344 DOYLE DRIVE,68010
0,NE,01002,7,05,1999,0001142,710,N,N,1642,1653,A,,900,86,,,N,1,0,0,6,0,0,N,459,14101 FRANCISCAN CIR,68010
0,NE,01002,7,06,1999,0001151,410,N,N,1705,1708,A,,900,41,,,N,1,0,0,13,0,0,N,449,14188 MOTHER THERESA,68010
0,NE,01002,7,14,1999,0001188,740,N,N,1739,1746,C,,900,86,,,N,1,0,0,8,0,0,N,459,221 MAHER DRIVE,68010
0,NE,01002,7,15,1999,0001200,320,N,N,2349,2354,B,,900,34,,,N,0,0,1,10,0,0,N,449,13971 FLANAGAN #202,68010
0,NE,01002,7,17,1999,0001205,740,N,N,0248,0252,A,,900,86,,,N,1,0,0,8,0,0,N,419,14538 GIANELLI CIRCLE,68010
0,NE,01002,7,17,1999,0001210,320,N,N,1947,1954,A,,900,34,,,N,0,0,1,8,0,0,N,449,13963 FLANAGAN #101,68010
0,NE,01002,7,19,1999,0001216,710,N,N,1423,1425,B,,900,86,,,N,1,0,0,12,0,0,N,449,13955 FLANAGAN #300,68010
0,NE,01002,7,19,1999,0001223,410,N,N,1902,1907,A,,900,41,,,N,2,0,0,8,0,0,N,419,14528 GIANELLI CIRCLE,68010
0,NE,01002,7,19,1999,0001226,740,N,N,1304,1308,C,,900,86,,,N,1,0,0,7,0,0,N,215,13803 FLANAGAN BLVD,68010
0,NE,01002,7,20,1999,0001229,110,N,N,1930,1935,C,,900,11,,,N,1,0,2,19,0,0,N,419,14538 GIANELLI CIRCLE,68010
